topic,sourceName,src,seriesName,ser,defaultSeries,defaultClass,infoURL,defaultVer
Geochemistry,Temperature data from Song et al.,REF-song2019temperature,Table S1. Mean sea surface temperature per million years in the Phanerozoic,temperature,FALSE,data.frame,https://chronosphere.info/data/REF-song2019temperature/temperature/,1
Geochemistry,Temperatures and oxygen isotopic composition of Phanerozoic oceans,REF-veizer2015temperatures,Appendix A - Deep Sea Data,deep,FALSE,data.frame,https://chronosphere.info/data/REF-veizer2015temperatures/deep/,2015
Geochemistry,Temperatures and oxygen isotopic composition of Phanerozoic oceans,REF-veizer2015temperatures,Appendix B - Surface Data,surface,TRUE,data.frame,https://chronosphere.info/data/REF-veizer2015temperatures/surface/,2015
Traits,List of scleractinian genera in the Paleobiology Database and their inferred symbiotic mode,SOM-kiessling-coralgenera,The list of coral genera,list,TRUE,data.frame,https://chronosphere.info/data/SOM-kiessling-coralgenera/list/,0.54
Paleogeography,"Code, used data and supplementary items for the articled Increase in marine provinciality over the last 250 million years governed more by climate change than plate tectonics",SOM-kocsis-provinciality,S6. Interpolated  temperature  reconstructions  based  on  the  HadCM3L  climate  models  and  the PaleoMAP Paleocoastlines,sstinter,TRUE,RasterArray,https://chronosphere.info/data/SOM-kocsis-provinciality/ssinter/,v1.0
Geography,A high-resolution climate simulation dataset for the past 540 million years,SOM-Li-PhanerozoicClimate,"Monthly climate layers (Temperature, Precipitation, Surface Albedo, U and V Wind)",monthly,TRUE,RasterArray,https://chronosphere.info/data/SOM-Li-PhanerozoicClimate/monthly/,v1
Traits,Repository for: Reddin et al. 2020. Marine clade sensitivities to climate change conform across time scales,SOM-reddin-sensitivity,Modern metaanalysis support data,modern,TRUE,data.frame,https://chronosphere.info/data/SOM-reddin-sensitivity/modern/,Version 1
Paleogeography,The continent fragmentation results of Zaffos et al. 2017,SOM-zaffos-fragmentation,Continent fragmentation index,fragment,TRUE,data.frame,https://chronosphere.info/data/SOM-zaffos-fragmentation/fragment/,20170424
Organism distribution,Triton Database,triton,"Full version, with duplicates",full,TRUE,data.frame,https://chronosphere.info/data/triton/full/,3
Organism distribution,Triton Database,triton,As in publication,main,FALSE,data.frame,https://chronosphere.info/data/triton/main/,3
Organism distribution,Triton Database,triton,No-rounding,no-rounding,FALSE,data.frame,https://chronosphere.info/data/triton/no-rounding/,1
Geography,Sea level and flooded land data between 0 and 837 Ma,vandermeer2017sealevel,Not weathering corrected.,no-weathering,TRUE,data.frame,https://chronosphere.info/data/vandermeer2017sealevel/no-weathering/,1
Geography,Sea level and flooded land data between 0 and 837 Ma,vandermeer2017sealevel,Weathering corrected set. ,weathering,FALSE,data.frame,https://chronosphere.info/data/vandermeer2017sealevel/weathering/,1
