"name","name_on_ukrainian_wikipedia","administrative_division","popu_lation_2022_esti_mates_1","popu_lation_2001_census_7","popu_lationchange","full_name","lat","long"
"Antratsyt","Антрацит","Luhansk",52150,63698,-18.13,"Antratsyt, Ukraine",48.11886,39.073635
"Brianka","Брянка","Luhansk",44760,54767,-18.27,"Brianka, Ukraine",48.501134,38.670308
"Dovzhansk","Довжанськ","Luhansk",62691,72531,-13.57,"Dovzhansk, Ukraine",48.0742873,39.6569446
"Holubivka","Голубівка","Luhansk",26654,35199,-24.28,"Holubivka, Ukraine",49.7490625,37.6346019
"Kadiivka","Кадіївка","Luhansk",73248,90152,-18.75,"Kadiivka, Ukraine",48.563504,38.642096
"Khrustalnyi","Хрустальний","Luhansk",79533,94875,-16.17,"Khrustalnyi, Ukraine",48.13954,38.93715
"Luhansk","Луганськ","Luhansk",397677,463097,-14.13,"Luhansk, Ukraine",48.577952,39.306412
"Lysychansk","Лисичанськ","Luhansk",93340,115229,-19,"Lysychansk, Ukraine",48.881646,38.470185
"Otamanivka","Отаманівка","Luhansk",22449,25528,-12.06,"Otamanivka, Ukraine",48.573081,28.831657
"Perevalsk","Перевальськ","Luhansk",24817,29665,-16.34,"Perevalsk, Ukraine",48.43779,38.84384
"Rovenky","Ровеньки","Luhansk",45514,53725,-15.28,"Rovenky, Ukraine",48.079704,39.352999
"Rubizhne","Рубіжне","Luhansk",55247,65322,-15.42,"Rubizhne, Ukraine",49.012064,38.391815
"Siverskodonetsk","Сіверськодонецьк","Luhansk",99067,119940,-17.4,"Siverskodonetsk, Ukraine",48.86588,38.09779
"Sokolohirsk","Сокологірськ","Luhansk",36091,43082,-16.23,"Sokolohirsk, Ukraine",46.5008893,34.9473196
"Sorokyne","Сорокине","Luhansk",42315,50560,-16.31,"Sorokyne, Ukraine",48.2908559,39.7439022
"Sukhodilsk","Суходільськ","Luhansk",20390,23642,-13.76,"Sukhodilsk, Ukraine",48.3529021,39.7247892
"Boryslav","Борислав","Lviv",32473,38122,-14.82,"Boryslav, Ukraine",49.284935,23.423254
"Brody","Броди","Lviv",23134,23239,-0.45,"Brody, Ukraine",50.0822152,25.1412375
